order,filename1,filename2
1,wav/eval_data/eng/dualcodec/3575-170457-0010.wav,wav/eval_data/eng/speakers/3575-170457-0000.wav
2,wav/eval_data/eng/dualcodec/5639-40744-0007.wav,wav/eval_data/eng/speakers/5639-40744-0013.wav
3,wav/eval_data/eng/dualcodec/1284-1181-0020.wav,wav/eval_data/eng/speakers/1284-1181-0004.wav
4,wav/eval_data/eng/cosy2/2961-961-0021.wav,wav/eval_data/eng/speakers/2961-961-0011.wav
5,wav/eval_data/eng/lmspt-dc/2830-3980-0050.wav,wav/eval_data/eng/speakers/2830-3980-0047.wav
6,wav/eval_data/eng/cosy2/5639-40744-0007.wav,wav/eval_data/eng/speakers/5639-40744-0013.wav
7,wav/eval_data/eng/dualcodec/7176-92135-0031.wav,wav/eval_data/eng/speakers/7176-92135-0017.wav
8,wav/eval_data/eng/dualcodec/7021-85628-0009.wav,wav/eval_data/eng/speakers/7021-85628-0005.wav
9,wav/eval_data/eng/cosy2/3575-170457-0010.wav,wav/eval_data/eng/speakers/3575-170457-0000.wav
10,wav/eval_data/eng/mimi/8455-210777-0011.wav,wav/eval_data/eng/speakers/8455-210777-0033.wav
11,wav/eval_data/eng/dualcodec/6930-76324-0017.wav,wav/eval_data/eng/speakers/6930-76324-0027.wav
12,wav/eval_data/eng/lmspt-dc/3575-170457-0010.wav,wav/eval_data/eng/speakers/3575-170457-0000.wav
13,wav/eval_data/eng/dualcodec/4077-13751-0002.wav,wav/eval_data/eng/speakers/4077-13751-0000.wav
14,wav/eval_data/eng/cosy2/1995-1826-0016.wav,wav/eval_data/eng/speakers/1995-1826-0009.wav
15,wav/eval_data/eng/dualcodec/1995-1826-0016.wav,wav/eval_data/eng/speakers/1995-1826-0009.wav
16,wav/eval_data/eng/mimi/1221-135766-0004.wav,wav/eval_data/eng/speakers/1221-135766-0002.wav
17,wav/eval_data/eng/mimi/8463-294828-0023.wav,wav/eval_data/eng/speakers/8463-294828-0006.wav
18,wav/eval_data/eng/dualcodec/2094-142345-0043.wav,wav/eval_data/eng/speakers/2094-142345-0050.wav
19,wav/eval_data/eng/cosy2/2094-142345-0043.wav,wav/eval_data/eng/speakers/2094-142345-0050.wav
20,wav/eval_data/eng/lmspt-dc/7176-92135-0031.wav,wav/eval_data/eng/speakers/7176-92135-0017.wav
21,wav/eval_data/eng/mimi/4077-13751-0002.wav,wav/eval_data/eng/speakers/4077-13751-0000.wav
22,wav/eval_data/eng/mimi/7021-85628-0009.wav,wav/eval_data/eng/speakers/7021-85628-0005.wav
23,wav/eval_data/eng/mimi/2830-3980-0050.wav,wav/eval_data/eng/speakers/2830-3980-0047.wav
24,wav/eval_data/eng/lmspt-dc/8455-210777-0011.wav,wav/eval_data/eng/speakers/8455-210777-0033.wav
25,wav/eval_data/eng/mimi/6930-76324-0017.wav,wav/eval_data/eng/speakers/6930-76324-0027.wav
26,wav/eval_data/eng/cosy2/2830-3980-0050.wav,wav/eval_data/eng/speakers/2830-3980-0047.wav
27,wav/eval_data/eng/cosy2/1221-135766-0004.wav,wav/eval_data/eng/speakers/1221-135766-0002.wav
28,wav/eval_data/eng/lmspt-dc/1221-135766-0004.wav,wav/eval_data/eng/speakers/1221-135766-0002.wav
29,wav/eval_data/eng/mimi/7729-102255-0028.wav,wav/eval_data/eng/speakers/7729-102255-0033.wav
30,wav/eval_data/eng/cosy2/7176-92135-0031.wav,wav/eval_data/eng/speakers/7176-92135-0017.wav
31,wav/eval_data/eng/cosy2/1284-1181-0020.wav,wav/eval_data/eng/speakers/1284-1181-0004.wav
32,wav/eval_data/eng/mimi/2094-142345-0043.wav,wav/eval_data/eng/speakers/2094-142345-0050.wav
33,wav/eval_data/eng/cosy2/6930-76324-0017.wav,wav/eval_data/eng/speakers/6930-76324-0027.wav
34,wav/eval_data/eng/lmspt-dc/1995-1826-0016.wav,wav/eval_data/eng/speakers/1995-1826-0009.wav
35,wav/eval_data/eng/dualcodec/1221-135766-0004.wav,wav/eval_data/eng/speakers/1221-135766-0002.wav
36,wav/eval_data/eng/cosy2/8463-294828-0023.wav,wav/eval_data/eng/speakers/8463-294828-0006.wav
37,wav/eval_data/eng/mimi/1284-1181-0020.wav,wav/eval_data/eng/speakers/1284-1181-0004.wav
38,wav/eval_data/eng/mimi/5639-40744-0007.wav,wav/eval_data/eng/speakers/5639-40744-0013.wav
39,wav/eval_data/eng/lmspt-dc/1284-1181-0020.wav,wav/eval_data/eng/speakers/1284-1181-0004.wav
40,wav/eval_data/eng/lmspt-dc/7021-85628-0009.wav,wav/eval_data/eng/speakers/7021-85628-0005.wav
41,wav/eval_data/eng/dualcodec/7729-102255-0028.wav,wav/eval_data/eng/speakers/7729-102255-0033.wav
42,wav/eval_data/eng/cosy2/7021-85628-0009.wav,wav/eval_data/eng/speakers/7021-85628-0005.wav
43,wav/eval_data/eng/lmspt-dc/2094-142345-0043.wav,wav/eval_data/eng/speakers/2094-142345-0050.wav
44,wav/eval_data/eng/cosy2/4077-13751-0002.wav,wav/eval_data/eng/speakers/4077-13751-0000.wav
45,wav/eval_data/eng/dualcodec/2961-961-0021.wav,wav/eval_data/eng/speakers/2961-961-0011.wav
46,wav/eval_data/eng/lmspt-dc/4077-13751-0002.wav,wav/eval_data/eng/speakers/4077-13751-0000.wav
47,wav/eval_data/eng/mimi/1995-1826-0016.wav,wav/eval_data/eng/speakers/1995-1826-0009.wav
48,wav/eval_data/eng/lmspt-dc/8463-294828-0023.wav,wav/eval_data/eng/speakers/8463-294828-0006.wav
49,wav/eval_data/eng/mimi/7176-92135-0031.wav,wav/eval_data/eng/speakers/7176-92135-0017.wav
50,wav/eval_data/eng/lmspt-dc/5639-40744-0007.wav,wav/eval_data/eng/speakers/5639-40744-0013.wav
51,wav/eval_data/eng/lmspt-dc/6930-76324-0017.wav,wav/eval_data/eng/speakers/6930-76324-0027.wav
52,wav/eval_data/eng/mimi/3575-170457-0010.wav,wav/eval_data/eng/speakers/3575-170457-0000.wav
53,wav/eval_data/eng/cosy2/7729-102255-0028.wav,wav/eval_data/eng/speakers/7729-102255-0033.wav
54,wav/eval_data/eng/dualcodec/8455-210777-0011.wav,wav/eval_data/eng/speakers/8455-210777-0033.wav
55,wav/eval_data/eng/mimi/2961-961-0021.wav,wav/eval_data/eng/speakers/2961-961-0011.wav
56,wav/eval_data/eng/dualcodec/8463-294828-0023.wav,wav/eval_data/eng/speakers/8463-294828-0006.wav
57,wav/eval_data/eng/cosy2/8455-210777-0011.wav,wav/eval_data/eng/speakers/8455-210777-0033.wav
58,wav/eval_data/eng/dualcodec/2830-3980-0050.wav,wav/eval_data/eng/speakers/2830-3980-0047.wav
59,wav/eval_data/eng/lmspt-dc/7729-102255-0028.wav,wav/eval_data/eng/speakers/7729-102255-0033.wav
60,wav/eval_data/eng/lmspt-dc/2961-961-0021.wav,wav/eval_data/eng/speakers/2961-961-0011.wav
